areaCode,areaName,areaType,date,cumCasesByPublishDate
E92000001,England,nation,2021-10-27,7564400
E92000001,England,nation,2021-10-26,7526898
E92000001,England,nation,2021-10-25,7494992
E92000001,England,nation,2021-10-24,7462144
E92000001,England,nation,2021-10-23,7430143
E92000001,England,nation,2021-10-22,7388884
E92000001,England,nation,2021-10-21,7347703
E92000001,England,nation,2021-10-20,7303864
E92000001,England,nation,2021-10-19,7262958
E92000001,England,nation,2021-10-18,7226658
E92000001,England,nation,2021-10-17,7187635
E92000001,England,nation,2021-10-16,7149533
E92000001,England,nation,2021-10-15,7110513
E92000001,England,nation,2021-10-14,7073467
E92000001,England,nation,2021-10-13,7035489
E92000001,England,nation,2021-10-12,7000356
E92000001,England,nation,2021-10-11,6967915
E92000001,England,nation,2021-10-10,6936327
E92000001,England,nation,2021-10-09,6906211
E92000001,England,nation,2021-10-08,6876192
E92000001,England,nation,2021-10-07,6845186
E92000001,England,nation,2021-10-06,6812848
E92000001,England,nation,2021-10-05,6780567
E92000001,England,nation,2021-10-04,6752536
E92000001,England,nation,2021-10-03,6725105
E92000001,England,nation,2021-10-02,6700702
E92000001,England,nation,2021-10-01,6674820
E92000001,England,nation,2021-09-30,6646963
E92000001,England,nation,2021-09-29,6617892
E92000001,England,nation,2021-09-28,6590514
E92000001,England,nation,2021-09-27,6561706
E92000001,England,nation,2021-09-26,6532847
E92000001,England,nation,2021-09-25,6507849
E92000001,England,nation,2021-09-24,6481363
E92000001,England,nation,2021-09-23,6453164
E92000001,England,nation,2021-09-22,6425056
E92000001,England,nation,2021-09-21,6398633
E92000001,England,nation,2021-09-20,6374123
E92000001,England,nation,2021-09-19,6347616
E92000001,England,nation,2021-09-18,6326046
E92000001,England,nation,2021-09-17,6303792
E92000001,England,nation,2021-09-16,6281236
E92000001,England,nation,2021-09-15,6258872
E92000001,England,nation,2021-09-14,6237505
E92000001,England,nation,2021-09-13,6218198
E92000001,England,nation,2021-09-12,6197654
E92000001,England,nation,2021-09-11,6178293
E92000001,England,nation,2021-09-10,6155149
E92000001,England,nation,2021-09-09,6129372
E92000001,England,nation,2021-09-08,6102850
E92000001,England,nation,2021-09-07,6074040
E92000001,England,nation,2021-09-06,6046799
E92000001,England,nation,2021-09-05,6019976
E92000001,England,nation,2021-09-04,5993444
E92000001,England,nation,2021-09-03,5964760
E92000001,England,nation,2021-09-02,5933034
E92000001,England,nation,2021-09-01,5904664
E92000001,England,nation,2021-08-31,5880134
E92000001,England,nation,2021-08-30,5859405
E92000001,England,nation,2021-08-29,5838323
E92000001,England,nation,2021-08-28,5816071
E92000001,England,nation,2021-08-27,5791272
E92000001,England,nation,2021-08-26,5764066
E92000001,England,nation,2021-08-25,5734967
E92000001,England,nation,2021-08-24,5707906
E92000001,England,nation,2021-08-23,5684645
E92000001,England,nation,2021-08-22,5660725
E92000001,England,nation,2021-08-21,5635046
E92000001,England,nation,2021-08-20,5608339
E92000001,England,nation,2021-08-19,5579087
E92000001,England,nation,2021-08-18,5549621
E92000001,England,nation,2021-08-17,5521231
E92000001,England,nation,2021-08-16,5498742
E92000001,England,nation,2021-08-15,5475833
E92000001,England,nation,2021-08-14,5453294
E92000001,England,nation,2021-08-13,5426971
E92000001,England,nation,2021-08-12,5398629
E92000001,England,nation,2021-08-11,5370904
E92000001,England,nation,2021-08-10,5344609
E92000001,England,nation,2021-08-09,5324191
E92000001,England,nation,2021-08-08,5302555
E92000001,England,nation,2021-08-07,5278675
E92000001,England,nation,2021-08-06,5253181
E92000001,England,nation,2021-08-05,5225224
E92000001,England,nation,2021-08-04,5199102
E92000001,England,nation,2021-08-03,5173082
E92000001,England,nation,2021-08-02,5154292
E92000001,England,nation,2021-08-01,5135378
E92000001,England,nation,2021-07-31,5114064
E92000001,England,nation,2021-07-30,5090505
E92000001,England,nation,2021-07-29,5064671
E92000001,England,nation,2021-07-28,5037630
E92000001,England,nation,2021-07-27,5013664
E92000001,England,nation,2021-07-26,4993657
E92000001,England,nation,2021-07-25,4972040
E92000001,England,nation,2021-07-24,4947127
E92000001,England,nation,2021-07-23,4918669
E92000001,England,nation,2021-07-22,4886612
E92000001,England,nation,2021-07-21,4851264
E92000001,England,nation,2021-07-20,4812460
E92000001,England,nation,2021-07-19,4769632
E92000001,England,nation,2021-07-18,4735387
E92000001,England,nation,2021-07-17,4691172
E92000001,England,nation,2021-07-16,4640922
E92000001,England,nation,2021-07-15,4594159
E92000001,England,nation,2021-07-14,4550298
E92000001,England,nation,2021-07-13,4512957
E92000001,England,nation,2021-07-12,4480518
E92000001,England,nation,2021-07-11,4450372
E92000001,England,nation,2021-07-10,4422370
E92000001,England,nation,2021-07-09,4393205
E92000001,England,nation,2021-07-08,4362481
E92000001,England,nation,2021-07-07,4334634
E92000001,England,nation,2021-07-06,4307618
E92000001,England,nation,2021-07-05,4282762
E92000001,England,nation,2021-07-04,4259710
E92000001,England,nation,2021-07-03,4239686
E92000001,England,nation,2021-07-02,4218807
E92000001,England,nation,2021-07-01,4196833
E92000001,England,nation,2021-06-30,4174318
E92000001,England,nation,2021-06-29,4153487
E92000001,England,nation,2021-06-28,4136940
E92000001,England,nation,2021-06-27,4118462
E92000001,England,nation,2021-06-26,4107155
E92000001,England,nation,2021-06-25,4092346
E92000001,England,nation,2021-06-24,4079362
E92000001,England,nation,2021-06-23,4066294
E92000001,England,nation,2021-06-22,4053782
E92000001,England,nation,2021-06-21,4044830
E92000001,England,nation,2021-06-20,4036230
E92000001,England,nation,2021-06-19,4028664
E92000001,England,nation,2021-06-18,4019956
E92000001,England,nation,2021-06-17,4010977
E92000001,England,nation,2021-06-16,4001803
E92000001,England,nation,2021-06-15,3994408
