areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,cumDeaths28DaysByDeathDate,cumDeaths60DaysByDeathDate,cumOnsDeathsByRegistrationDateRate
E92000001,England,nation,25/10/2021,,121976,142203,
E92000001,England,nation,24/10/2021,,121956,142176,
E92000001,England,nation,23/10/2021,,121879,142089,
E92000001,England,nation,22/10/2021,,121799,142002,
E92000001,England,nation,21/10/2021,,121717,141910,
E92000001,England,nation,20/10/2021,,121629,141808,
E92000001,England,nation,19/10/2021,,121533,141688,
E92000001,England,nation,18/10/2021,,121435,141571,
E92000001,England,nation,17/10/2021,,121348,141471,
E92000001,England,nation,16/10/2021,,121249,141347,
E92000001,England,nation,15/10/2021,141544,121156,141225,245.9
E92000001,England,nation,14/10/2021,141494,121058,141106,
E92000001,England,nation,13/10/2021,141416,120949,140970,
E92000001,England,nation,12/10/2021,141343,120863,140858,
E92000001,England,nation,11/10/2021,141263,120779,140742,
E92000001,England,nation,10/10/2021,141180,120689,140627,
E92000001,England,nation,09/10/2021,141109,120622,140529,
E92000001,England,nation,08/10/2021,141025,120534,140413,244.8
E92000001,England,nation,07/10/2021,140938,120446,140301,
E92000001,England,nation,06/10/2021,140846,120356,140186,
E92000001,England,nation,05/10/2021,140773,120282,140084,
E92000001,England,nation,04/10/2021,140688,120196,139971,
E92000001,England,nation,03/10/2021,140611,120116,139869,
E92000001,England,nation,02/10/2021,140539,120041,139776,
E92000001,England,nation,01/10/2021,140469,119967,139682,243.7
E92000001,England,nation,30/09/2021,140372,119871,139563,
E92000001,England,nation,29/09/2021,140281,119790,139445,
E92000001,England,nation,28/09/2021,140194,119707,139338,
E92000001,England,nation,27/09/2021,140115,119632,139238,
E92000001,England,nation,26/09/2021,140037,119555,139139,
E92000001,England,nation,25/09/2021,139963,119487,139049,
E92000001,England,nation,24/09/2021,139875,119396,138942,242.5
E92000001,England,nation,23/09/2021,139781,119305,138824,
E92000001,England,nation,22/09/2021,139678,119203,138701,
E92000001,England,nation,21/09/2021,139569,119103,138574,
E92000001,England,nation,20/09/2021,139475,119010,138460,
E92000001,England,nation,19/09/2021,139364,118908,138334,
E92000001,England,nation,18/09/2021,139267,118818,138227,
E92000001,England,nation,17/09/2021,139168,118726,138105,241.1
E92000001,England,nation,16/09/2021,139043,118604,137946,
E92000001,England,nation,15/09/2021,138930,118491,137810,
E92000001,England,nation,14/09/2021,138814,118390,137677,
E92000001,England,nation,13/09/2021,138696,118272,137536,
E92000001,England,nation,12/09/2021,138622,118200,137444,
E92000001,England,nation,11/09/2021,138521,118098,137319,
E92000001,England,nation,10/09/2021,138414,117995,137193,239.7
E92000001,England,nation,09/09/2021,138306,117887,137055,
E92000001,England,nation,08/09/2021,138172,117759,136898,
E92000001,England,nation,07/09/2021,138059,117646,136770,
E92000001,England,nation,06/09/2021,137936,117522,136628,
E92000001,England,nation,05/09/2021,137812,117402,136492,
E92000001,England,nation,04/09/2021,137699,117287,136356,
E92000001,England,nation,03/09/2021,137586,117177,136231,238.3
E92000001,England,nation,02/09/2021,137467,117052,136089,
E92000001,England,nation,01/09/2021,137365,116953,135973,
E92000001,England,nation,31/08/2021,137268,116859,135858,
