areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
E92000001,England,nation,2021-10-26,41723652,38224311
E92000001,England,nation,2021-10-25,41687872,38204812
E92000001,England,nation,2021-10-24,41655840,38186561
E92000001,England,nation,2021-10-23,41636233,38172423
E92000001,England,nation,2021-10-22,41604013,38144896
E92000001,England,nation,2021-10-21,41562281,38122473
E92000001,England,nation,2021-10-20,41517723,38100446
E92000001,England,nation,2021-10-19,41473202,38078745
E92000001,England,nation,2021-10-18,41434669,38057604
E92000001,England,nation,2021-10-17,41399335,38036936
E92000001,England,nation,2021-10-16,41389496,38022391
E92000001,England,nation,2021-10-15,41369761,37991951
E92000001,England,nation,2021-10-14,41333877,37966571
E92000001,England,nation,2021-10-13,41295692,37943082
E92000001,England,nation,2021-10-12,41263377,37918254
E92000001,England,nation,2021-10-11,41232741,37895807
E92000001,England,nation,2021-10-10,41209509,37875457
E92000001,England,nation,2021-10-09,41200398,37859814
E92000001,England,nation,2021-10-08,41181960,37830063
E92000001,England,nation,2021-10-07,41156424,37805057
E92000001,England,nation,2021-10-06,41131105,37780849
E92000001,England,nation,2021-10-05,41106586,37756714
E92000001,England,nation,2021-10-04,41071393,37732461
E92000001,England,nation,2021-10-03,41040609,37707715
E92000001,England,nation,2021-10-02,41029889,37690213
E92000001,England,nation,2021-10-01,41011153,37659364
E92000001,England,nation,2021-09-30,40979175,37629371
E92000001,England,nation,2021-09-29,40950486,37599053
E92000001,England,nation,2021-09-28,40923041,37569146
E92000001,England,nation,2021-09-27,40894475,37539476
E92000001,England,nation,2021-09-26,40873771,37510886
E92000001,England,nation,2021-09-25,40864957,37489410
E92000001,England,nation,2021-09-24,40847350,37446361
E92000001,England,nation,2021-09-23,40825484,37406794
E92000001,England,nation,2021-09-22,40803896,37365066
E92000001,England,nation,2021-09-21,40785434,37325390
E92000001,England,nation,2021-09-20,40768510,37286142
E92000001,England,nation,2021-09-19,40752841,37244704
E92000001,England,nation,2021-09-18,40742497,37214246
E92000001,England,nation,2021-09-17,40720869,37148112
E92000001,England,nation,2021-09-16,40703518,37092855
E92000001,England,nation,2021-09-15,40684544,37033914
E92000001,England,nation,2021-09-14,40664424,36976818
E92000001,England,nation,2021-09-13,40646716,36920297
