areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
E92000001,England,nation,10/01/2021,1959151,374613
E92000001,England,nation,11/01/2021,2080280,393925
E92000001,England,nation,12/01/2021,2254556,407294
E92000001,England,nation,13/01/2021,2494371,415656
E92000001,England,nation,14/01/2021,2769164,420510
E92000001,England,nation,15/01/2021,3090058,424327
E92000001,England,nation,16/01/2021,3365492,426102
E92000001,England,nation,17/01/2021,3520056,427386
E92000001,England,nation,18/01/2021,3687206,431136
E92000001,England,nation,19/01/2021,3985579,434125
E92000001,England,nation,20/01/2021,4303730,436848
E92000001,England,nation,21/01/2021,4661293,439182
E92000001,England,nation,22/01/2021,5085771,440300
E92000001,England,nation,23/01/2021,5529101,441074
E92000001,England,nation,24/01/2021,5727693,441684
E92000001,England,nation,25/01/2021,5962544,443010
E92000001,England,nation,26/01/2021,6221850,444011
E92000001,England,nation,27/01/2021,6473752,445101
E92000001,England,nation,28/01/2021,6816945,446372
E92000001,England,nation,29/01/2021,7253305,447898
E92000001,England,nation,30/01/2021,7792996,458150
E92000001,England,nation,31/01/2021,8082355,460907
E92000001,England,nation,01/02/2021,8362868,462503
E92000001,England,nation,02/02/2021,8663041,463889
E92000001,England,nation,03/02/2021,9041835,466171
E92000001,England,nation,04/02/2021,9430261,468782
E92000001,England,nation,05/02/2021,9831897,470723
E92000001,England,nation,06/02/2021,10290215,471324
E92000001,England,nation,07/02/2021,10519729,471636
E92000001,England,nation,08/02/2021,10771998,473055
E92000001,England,nation,09/02/2021,11083652,475228
E92000001,England,nation,10/02/2021,11422507,479320
E92000001,England,nation,11/02/2021,11809241,483966
E92000001,England,nation,12/02/2021,12246166,487699
E92000001,England,nation,13/02/2021,12675663,489885
E92000001,England,nation,14/02/2021,12862909,490722
E92000001,England,nation,15/02/2021,13082669,492576
E92000001,England,nation,16/02/2021,13395338,495704
E92000001,England,nation,17/02/2021,13817914,500201
E92000001,England,nation,18/02/2021,14214176,504762
E92000001,England,nation,19/02/2021,14537978,508657
E92000001,England,nation,20/02/2021,14844087,511089
E92000001,England,nation,21/02/2021,14958074,513435
E92000001,England,nation,22/02/2021,15113158,518779
E92000001,England,nation,23/02/2021,15398055,528360
E92000001,England,nation,24/02/2021,15794992,542569
E92000001,England,nation,25/02/2021,16227104,558737
E92000001,England,nation,26/02/2021,16679881,574963
E92000001,England,nation,27/02/2021,17051245,590547
E92000001,England,nation,28/02/2021,17212804,599935
E92000001,England,nation,01/03/2021,17373384,612567
E92000001,England,nation,02/03/2021,17554700,640219
E92000001,England,nation,03/03/2021,17785702,684220
E92000001,England,nation,04/03/2021,18106090,729265
E92000001,England,nation,05/03/2021,18491771,766500
E92000001,England,nation,06/03/2021,18875389,788188
E92000001,England,nation,07/03/2021,19015497,797321
E92000001,England,nation,08/03/2021,19199233,821121
E92000001,England,nation,09/03/2021,19380360,868272
E92000001,England,nation,10/03/2021,19587080,939232
E92000001,England,nation,11/03/2021,19798473,1008912
E92000001,England,nation,12/03/2021,20111189,1076426
E92000001,England,nation,13/03/2021,20568821,1115066
E92000001,England,nation,14/03/2021,20791838,1129444
E92000001,England,nation,15/03/2021,21122514,1161526
E92000001,England,nation,16/03/2021,21493356,1224435
E92000001,England,nation,17/03/2021,21886125,1315341
E92000001,England,nation,18/03/2021,22337590,1419950
E92000001,England,nation,19/03/2021,22873079,1520680
E92000001,England,nation,20/03/2021,23559503,1591129
E92000001,England,nation,21/03/2021,23854862,1621547
E92000001,England,nation,22/03/2021,24137423,1685983
E92000001,England,nation,23/03/2021,24406074,1820530
E92000001,England,nation,24/03/2021,24681955,2028543
E92000001,England,nation,25/03/2021,24940005,2226749
E92000001,England,nation,26/03/2021,25284013,2477711
E92000001,England,nation,27/03/2021,25651406,2679046
E92000001,England,nation,28/03/2021,25903782,2806124
E92000001,England,nation,29/03/2021,26090111,2943529
E92000001,England,nation,30/03/2021,26266174,3177357
E92000001,England,nation,31/03/2021,26454219,3519105
E92000001,England,nation,01/04/2021,26576629,3931103
E92000001,England,nation,02/04/2021,26644910,4146857
E92000001,England,nation,03/04/2021,26719422,4304760
E92000001,England,nation,04/04/2021,26746039,4344251
E92000001,England,nation,05/04/2021,26765865,4398311
E92000001,England,nation,06/04/2021,26820161,4560777
E92000001,England,nation,07/04/2021,26879123,4933018
E92000001,England,nation,08/04/2021,26934662,5336230
E92000001,England,nation,09/04/2021,26996936,5740436
E92000001,England,nation,10/04/2021,27070991,6177878
E92000001,England,nation,11/04/2021,27107590,6338332
E92000001,England,nation,12/04/2021,27132941,6504605
E92000001,England,nation,13/04/2021,27172302,6762337
E92000001,England,nation,14/04/2021,27251419,7054720
E92000001,England,nation,15/04/2021,27345006,7417722
E92000001,England,nation,16/04/2021,27447286,7863747
E92000001,England,nation,17/04/2021,27559381,8322627
E92000001,England,nation,18/04/2021,27628579,8518498
E92000001,England,nation,19/04/2021,27713634,8734163
E92000001,England,nation,20/04/2021,27798505,9007092
E92000001,England,nation,21/04/2021,27891208,9346865
E92000001,England,nation,22/04/2021,27995196,9692540
E92000001,England,nation,23/04/2021,28102852,10086684
E92000001,England,nation,24/04/2021,28227710,10564692
E92000001,England,nation,25/04/2021,28289296,10791851
E92000001,England,nation,26/04/2021,28356779,11041619
E92000001,England,nation,27/04/2021,28441846,11355235
E92000001,England,nation,28/04/2021,28545198,11749387
E92000001,England,nation,29/04/2021,28656174,12144430
E92000001,England,nation,30/04/2021,28771540,12506188
E92000001,England,nation,01/05/2021,28895159,12835358
E92000001,England,nation,02/05/2021,28965936,12972758
E92000001,England,nation,03/05/2021,29025049,13072543
