areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate
E92000001,England,nation,01/01/2021,81593
E92000001,England,nation,02/01/2021,82316
E92000001,England,nation,03/01/2021,83000
E92000001,England,nation,04/01/2021,83789
E92000001,England,nation,05/01/2021,84638
E92000001,England,nation,06/01/2021,85520
E92000001,England,nation,07/01/2021,86435
E92000001,England,nation,08/01/2021,87358
E92000001,England,nation,09/01/2021,88331
E92000001,England,nation,10/01/2021,89357
E92000001,England,nation,11/01/2021,90427
E92000001,England,nation,12/01/2021,91597
E92000001,England,nation,13/01/2021,92753
E92000001,England,nation,14/01/2021,93917
E92000001,England,nation,15/01/2021,95075
E92000001,England,nation,16/01/2021,96312
E92000001,England,nation,17/01/2021,97537
E92000001,England,nation,18/01/2021,98776
E92000001,England,nation,19/01/2021,100099
E92000001,England,nation,20/01/2021,101333
E92000001,England,nation,21/01/2021,102533
E92000001,England,nation,22/01/2021,103719
E92000001,England,nation,23/01/2021,104863
E92000001,England,nation,24/01/2021,105944
E92000001,England,nation,25/01/2021,107088
E92000001,England,nation,26/01/2021,108131
E92000001,England,nation,27/01/2021,109235
E92000001,England,nation,28/01/2021,110343
E92000001,England,nation,29/01/2021,111345
E92000001,England,nation,30/01/2021,112267
E92000001,England,nation,31/01/2021,113163
E92000001,England,nation,01/02/2021,114053
E92000001,England,nation,02/02/2021,114904
E92000001,England,nation,03/02/2021,115768
E92000001,England,nation,04/02/2021,116503
E92000001,England,nation,05/02/2021,117271
E92000001,England,nation,06/02/2021,117954
E92000001,England,nation,07/02/2021,118617
E92000001,England,nation,08/02/2021,119316
E92000001,England,nation,09/02/2021,119943
E92000001,England,nation,10/02/2021,120570
E92000001,England,nation,11/02/2021,121154
E92000001,England,nation,12/02/2021,121698
E92000001,England,nation,13/02/2021,122206
E92000001,England,nation,14/02/2021,122722
E92000001,England,nation,15/02/2021,123269
E92000001,England,nation,16/02/2021,123767
E92000001,England,nation,17/02/2021,124203
E92000001,England,nation,18/02/2021,124656
E92000001,England,nation,19/02/2021,125043
E92000001,England,nation,20/02/2021,125428
E92000001,England,nation,21/02/2021,125783
E92000001,England,nation,22/02/2021,126104
E92000001,England,nation,23/02/2021,126436
E92000001,England,nation,24/02/2021,126750
E92000001,England,nation,25/02/2021,127053
E92000001,England,nation,26/02/2021,127312
E92000001,England,nation,27/02/2021,127575
E92000001,England,nation,28/02/2021,127829
E92000001,England,nation,01/03/2021,128078
E92000001,England,nation,02/03/2021,128287
E92000001,England,nation,03/03/2021,128472
E92000001,England,nation,04/03/2021,128675
E92000001,England,nation,05/03/2021,128878
E92000001,England,nation,06/03/2021,129056
E92000001,England,nation,07/03/2021,129228
E92000001,England,nation,08/03/2021,129393
E92000001,England,nation,09/03/2021,129553
E92000001,England,nation,10/03/2021,129687
E92000001,England,nation,11/03/2021,129838
E92000001,England,nation,12/03/2021,129954
E92000001,England,nation,13/03/2021,130076
E92000001,England,nation,14/03/2021,130186
E92000001,England,nation,15/03/2021,130305
E92000001,England,nation,16/03/2021,130399
E92000001,England,nation,17/03/2021,130502
E92000001,England,nation,18/03/2021,130587
E92000001,England,nation,19/03/2021,130667
E92000001,England,nation,20/03/2021,130754
E92000001,England,nation,21/03/2021,130859
E92000001,England,nation,22/03/2021,130945
E92000001,England,nation,23/03/2021,131026
E92000001,England,nation,24/03/2021,131084
E92000001,England,nation,25/03/2021,131151
E92000001,England,nation,26/03/2021,131211
E92000001,England,nation,27/03/2021,131265
E92000001,England,nation,28/03/2021,131307
E92000001,England,nation,29/03/2021,131362
E92000001,England,nation,30/03/2021,131410
E92000001,England,nation,31/03/2021,131474
E92000001,England,nation,01/04/2021,131528
E92000001,England,nation,02/04/2021,131566
E92000001,England,nation,03/04/2021,131598
E92000001,England,nation,04/04/2021,131647
E92000001,England,nation,05/04/2021,131681
E92000001,England,nation,06/04/2021,131718
E92000001,England,nation,07/04/2021,131755
E92000001,England,nation,08/04/2021,131805
E92000001,England,nation,09/04/2021,131837
E92000001,England,nation,10/04/2021,131873
E92000001,England,nation,11/04/2021,131905
E92000001,England,nation,12/04/2021,131940
E92000001,England,nation,13/04/2021,131977
E92000001,England,nation,14/04/2021,132002
E92000001,England,nation,15/04/2021,132038
E92000001,England,nation,16/04/2021,132065
E92000001,England,nation,17/04/2021,132098
E92000001,England,nation,18/04/2021,132124
E92000001,England,nation,19/04/2021,132141
E92000001,England,nation,20/04/2021,132171
E92000001,England,nation,21/04/2021,132196
E92000001,England,nation,22/04/2021,132224
E92000001,England,nation,23/04/2021,132247
E92000001,England,nation,24/04/2021,132266
E92000001,England,nation,25/04/2021,132287
E92000001,England,nation,26/04/2021,132306
E92000001,England,nation,27/04/2021,132330
E92000001,England,nation,28/04/2021,132349
E92000001,England,nation,29/04/2021,132364
E92000001,England,nation,30/04/2021,132380
E92000001,England,nation,01/05/2021,132393
E92000001,England,nation,02/05/2021,132408
E92000001,England,nation,03/05/2021,132425
E92000001,England,nation,04/05/2021,132439
E92000001,England,nation,05/05/2021,132459
E92000001,England,nation,06/05/2021,132473
E92000001,England,nation,07/05/2021,132488
E92000001,England,nation,08/05/2021,132505
E92000001,England,nation,09/05/2021,132516
E92000001,England,nation,10/05/2021,132523
E92000001,England,nation,11/05/2021,132542
E92000001,England,nation,12/05/2021,132555
E92000001,England,nation,13/05/2021,132565
E92000001,England,nation,14/05/2021,132574
E92000001,England,nation,15/05/2021,132587
E92000001,England,nation,16/05/2021,132597
E92000001,England,nation,17/05/2021,132608
E92000001,England,nation,18/05/2021,132617
E92000001,England,nation,19/05/2021,132620
E92000001,England,nation,20/05/2021,132626
E92000001,England,nation,21/05/2021,132642
E92000001,England,nation,22/05/2021,132645
E92000001,England,nation,23/05/2021,132659
E92000001,England,nation,24/05/2021,132672
E92000001,England,nation,25/05/2021,132679
E92000001,England,nation,26/05/2021,132691
E92000001,England,nation,27/05/2021,132699
E92000001,England,nation,28/05/2021,132710
E92000001,England,nation,29/05/2021,132719
E92000001,England,nation,30/05/2021,132726
E92000001,England,nation,31/05/2021,132736
E92000001,England,nation,01/06/2021,132745
E92000001,England,nation,02/06/2021,132755
E92000001,England,nation,03/06/2021,132769
E92000001,England,nation,04/06/2021,132781
E92000001,England,nation,05/06/2021,132785
E92000001,England,nation,06/06/2021,132797
E92000001,England,nation,07/06/2021,132802
E92000001,England,nation,08/06/2021,132815
E92000001,England,nation,09/06/2021,132829
E92000001,England,nation,10/06/2021,132845
E92000001,England,nation,11/06/2021,132856
E92000001,England,nation,12/06/2021,132866
E92000001,England,nation,13/06/2021,132875
E92000001,England,nation,14/06/2021,132886
E92000001,England,nation,15/06/2021,132900
E92000001,England,nation,16/06/2021,132912
E92000001,England,nation,17/06/2021,132919
E92000001,England,nation,18/06/2021,132933
E92000001,England,nation,19/06/2021,132950
E92000001,England,nation,20/06/2021,132969
E92000001,England,nation,21/06/2021,132980
E92000001,England,nation,22/06/2021,132992
E92000001,England,nation,23/06/2021,132998
E92000001,England,nation,24/06/2021,133020
E92000001,England,nation,25/06/2021,133040
E92000001,England,nation,26/06/2021,133050
E92000001,England,nation,27/06/2021,133070
E92000001,England,nation,28/06/2021,133083
E92000001,England,nation,29/06/2021,133104
E92000001,England,nation,30/06/2021,133127
E92000001,England,nation,01/07/2021,133152
E92000001,England,nation,02/07/2021,133176
E92000001,England,nation,03/07/2021,133203
E92000001,England,nation,04/07/2021,133226
E92000001,England,nation,05/07/2021,133246
E92000001,England,nation,06/07/2021,133268
E92000001,England,nation,07/07/2021,133296
E92000001,England,nation,08/07/2021,133325
E92000001,England,nation,09/07/2021,133363
E92000001,England,nation,10/07/2021,133397
E92000001,England,nation,11/07/2021,133424
E92000001,England,nation,12/07/2021,133456
E92000001,England,nation,13/07/2021,133495
E92000001,England,nation,14/07/2021,133531
E92000001,England,nation,15/07/2021,133574
E92000001,England,nation,16/07/2021,133617
E92000001,England,nation,17/07/2021,133666
E92000001,England,nation,18/07/2021,133724
E92000001,England,nation,19/07/2021,133798
E92000001,England,nation,20/07/2021,133850
E92000001,England,nation,21/07/2021,133896
E92000001,England,nation,22/07/2021,133969
E92000001,England,nation,23/07/2021,134034
E92000001,England,nation,24/07/2021,134091
E92000001,England,nation,25/07/2021,134151
E92000001,England,nation,26/07/2021,134218
E92000001,England,nation,27/07/2021,134277
E92000001,England,nation,28/07/2021,134346
E92000001,England,nation,29/07/2021,134416
E92000001,England,nation,30/07/2021,134501
E92000001,England,nation,31/07/2021,134573
E92000001,England,nation,01/08/2021,134646
E92000001,England,nation,02/08/2021,134721
E92000001,England,nation,03/08/2021,134790
E92000001,England,nation,04/08/2021,134868
E92000001,England,nation,05/08/2021,134955
E92000001,England,nation,06/08/2021,135038
E92000001,England,nation,07/08/2021,135127
E92000001,England,nation,08/08/2021,135191
E92000001,England,nation,09/08/2021,135264
E92000001,England,nation,10/08/2021,135335
E92000001,England,nation,11/08/2021,135409
E92000001,England,nation,12/08/2021,135496
E92000001,England,nation,13/08/2021,135575
E92000001,England,nation,14/08/2021,135659
E92000001,England,nation,15/08/2021,135732
E92000001,England,nation,16/08/2021,135806
E92000001,England,nation,17/08/2021,135891
E92000001,England,nation,18/08/2021,135978
E92000001,England,nation,19/08/2021,136074
E92000001,England,nation,20/08/2021,136179
E92000001,England,nation,21/08/2021,136271
E92000001,England,nation,22/08/2021,136377
E92000001,England,nation,23/08/2021,136472
E92000001,England,nation,24/08/2021,136573
E92000001,England,nation,25/08/2021,136655
E92000001,England,nation,26/08/2021,136759
E92000001,England,nation,27/08/2021,136869
E92000001,England,nation,28/08/2021,136972
E92000001,England,nation,29/08/2021,137083
E92000001,England,nation,30/08/2021,137175
E92000001,England,nation,31/08/2021,137268
E92000001,England,nation,01/09/2021,137365
E92000001,England,nation,02/09/2021,137467
E92000001,England,nation,03/09/2021,137586
E92000001,England,nation,04/09/2021,137699
E92000001,England,nation,05/09/2021,137812
E92000001,England,nation,06/09/2021,137936
E92000001,England,nation,07/09/2021,138059
E92000001,England,nation,08/09/2021,138172
E92000001,England,nation,09/09/2021,138306
E92000001,England,nation,10/09/2021,138414
E92000001,England,nation,11/09/2021,138521
E92000001,England,nation,12/09/2021,138622
E92000001,England,nation,13/09/2021,138696
E92000001,England,nation,14/09/2021,138814
E92000001,England,nation,15/09/2021,138930
E92000001,England,nation,16/09/2021,139043
E92000001,England,nation,17/09/2021,139168
E92000001,England,nation,18/09/2021,139267
E92000001,England,nation,19/09/2021,139364
E92000001,England,nation,20/09/2021,139475
E92000001,England,nation,21/09/2021,139569
E92000001,England,nation,22/09/2021,139678
E92000001,England,nation,23/09/2021,139781
E92000001,England,nation,24/09/2021,139875
E92000001,England,nation,25/09/2021,139963
E92000001,England,nation,26/09/2021,140037
E92000001,England,nation,27/09/2021,140115
E92000001,England,nation,28/09/2021,140194
E92000001,England,nation,29/09/2021,140281
E92000001,England,nation,30/09/2021,140372
E92000001,England,nation,01/10/2021,140469
E92000001,England,nation,02/10/2021,140539
E92000001,England,nation,03/10/2021,140611
E92000001,England,nation,04/10/2021,140688
E92000001,England,nation,05/10/2021,140773
E92000001,England,nation,06/10/2021,140846
E92000001,England,nation,07/10/2021,140938
E92000001,England,nation,08/10/2021,141025
E92000001,England,nation,09/10/2021,141109
E92000001,England,nation,10/10/2021,141180
E92000001,England,nation,11/10/2021,141263
E92000001,England,nation,12/10/2021,141343
E92000001,England,nation,13/10/2021,141416
E92000001,England,nation,14/10/2021,141494
E92000001,England,nation,15/10/2021,141544
