areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
N92000002,Northern Ireland,nation,10/01/2021,78005,13949
N92000002,Northern Ireland,nation,11/01/2021,84187,15288
N92000002,Northern Ireland,nation,12/01/2021,91417,17840
N92000002,Northern Ireland,nation,13/01/2021,102701,19010
N92000002,Northern Ireland,nation,14/01/2021,114567,19264
N92000002,Northern Ireland,nation,15/01/2021,117906,19474
N92000002,Northern Ireland,nation,16/01/2021,120387,20174
N92000002,Northern Ireland,nation,17/01/2021,125717,21016
N92000002,Northern Ireland,nation,18/01/2021,132857,21579
N92000002,Northern Ireland,nation,19/01/2021,138436,21960
N92000002,Northern Ireland,nation,20/01/2021,144212,22326
N92000002,Northern Ireland,nation,21/01/2021,151039,22510
N92000002,Northern Ireland,nation,22/01/2021,154366,22660
N92000002,Northern Ireland,nation,23/01/2021,155644,22687
N92000002,Northern Ireland,nation,24/01/2021,159642,22713
N92000002,Northern Ireland,nation,25/01/2021,163317,22795
N92000002,Northern Ireland,nation,26/01/2021,168140,22910
N92000002,Northern Ireland,nation,27/01/2021,175284,23927
N92000002,Northern Ireland,nation,28/01/2021,196131,24070
N92000002,Northern Ireland,nation,29/01/2021,204065,24146
N92000002,Northern Ireland,nation,30/01/2021,214601,24323
N92000002,Northern Ireland,nation,31/01/2021,221809,24612
N92000002,Northern Ireland,nation,01/02/2021,233429,24882
N92000002,Northern Ireland,nation,02/02/2021,246671,25155
N92000002,Northern Ireland,nation,03/02/2021,263735,25539
N92000002,Northern Ireland,nation,04/02/2021,275232,26047
N92000002,Northern Ireland,nation,05/02/2021,289889,26531
N92000002,Northern Ireland,nation,06/02/2021,295915,27207
N92000002,Northern Ireland,nation,07/02/2021,303478,27463
N92000002,Northern Ireland,nation,08/02/2021,317606,27589
N92000002,Northern Ireland,nation,09/02/2021,333658,27772
N92000002,Northern Ireland,nation,10/02/2021,353757,28137
N92000002,Northern Ireland,nation,11/02/2021,373414,28552
N92000002,Northern Ireland,nation,12/02/2021,387771,28937
N92000002,Northern Ireland,nation,13/02/2021,391101,28976
N92000002,Northern Ireland,nation,14/02/2021,397243,29005
N92000002,Northern Ireland,nation,15/02/2021,409507,29201
N92000002,Northern Ireland,nation,16/02/2021,418209,29476
N92000002,Northern Ireland,nation,17/02/2021,427569,30012
N92000002,Northern Ireland,nation,18/02/2021,436143,30381
N92000002,Northern Ireland,nation,19/02/2021,442917,30753
N92000002,Northern Ireland,nation,20/02/2021,446009,30807
N92000002,Northern Ireland,nation,21/02/2021,458030,30796
N92000002,Northern Ireland,nation,22/02/2021,468129,31077
N92000002,Northern Ireland,nation,23/02/2021,478235,31345
N92000002,Northern Ireland,nation,24/02/2021,491593,31637
N92000002,Northern Ireland,nation,25/02/2021,505188,31898
N92000002,Northern Ireland,nation,26/02/2021,515678,32616
N92000002,Northern Ireland,nation,27/02/2021,520996,32665
N92000002,Northern Ireland,nation,28/02/2021,525400,33197
N92000002,Northern Ireland,nation,01/03/2021,537389,35370
N92000002,Northern Ireland,nation,02/03/2021,545019,37862
N92000002,Northern Ireland,nation,03/03/2021,556721,40139
N92000002,Northern Ireland,nation,04/03/2021,568011,41787
N92000002,Northern Ireland,nation,05/03/2021,577219,42096
N92000002,Northern Ireland,nation,06/03/2021,582914,42230
N92000002,Northern Ireland,nation,07/03/2021,588803,42851
N92000002,Northern Ireland,nation,08/03/2021,596527,44594
N92000002,Northern Ireland,nation,09/03/2021,601101,46927
N92000002,Northern Ireland,nation,10/03/2021,606695,48948
N92000002,Northern Ireland,nation,11/03/2021,614629,49400
N92000002,Northern Ireland,nation,12/03/2021,621462,50052
N92000002,Northern Ireland,nation,13/03/2021,625195,52407
N92000002,Northern Ireland,nation,14/03/2021,629461,54636
N92000002,Northern Ireland,nation,15/03/2021,634019,58245
N92000002,Northern Ireland,nation,16/03/2021,640801,63946
N92000002,Northern Ireland,nation,17/03/2021,646190,67202
N92000002,Northern Ireland,nation,18/03/2021,655581,70709
N92000002,Northern Ireland,nation,19/03/2021,662973,75313
N92000002,Northern Ireland,nation,20/03/2021,667758,78496
N92000002,Northern Ireland,nation,21/03/2021,687528,88683
N92000002,Northern Ireland,nation,22/03/2021,687528,88683
N92000002,Northern Ireland,nation,23/03/2021,694863,96254
N92000002,Northern Ireland,nation,24/03/2021,703334,104907
N92000002,Northern Ireland,nation,25/03/2021,711673,113637
N92000002,Northern Ireland,nation,26/03/2021,719260,120349
N92000002,Northern Ireland,nation,27/03/2021,726589,123452
N92000002,Northern Ireland,nation,28/03/2021,730471,125017
N92000002,Northern Ireland,nation,29/03/2021,740729,132022
N92000002,Northern Ireland,nation,30/03/2021,749112,138486
N92000002,Northern Ireland,nation,31/03/2021,756013,145753
N92000002,Northern Ireland,nation,01/04/2021,765005,153454
N92000002,Northern Ireland,nation,02/04/2021,772240,160262
N92000002,Northern Ireland,nation,03/04/2021,777108,162483
N92000002,Northern Ireland,nation,04/04/2021,779932,163818
N92000002,Northern Ireland,nation,05/04/2021,785494,165374
N92000002,Northern Ireland,nation,06/04/2021,790860,167923
N92000002,Northern Ireland,nation,07/04/2021,799410,173772
N92000002,Northern Ireland,nation,08/04/2021,806005,181814
N92000002,Northern Ireland,nation,09/04/2021,813468,189697
N92000002,Northern Ireland,nation,10/04/2021,820032,194610
N92000002,Northern Ireland,nation,11/04/2021,826412,199500
N92000002,Northern Ireland,nation,12/04/2021,831895,210470
N92000002,Northern Ireland,nation,13/04/2021,838049,224129
N92000002,Northern Ireland,nation,14/04/2021,844284,237281
N92000002,Northern Ireland,nation,15/04/2021,850103,250474
N92000002,Northern Ireland,nation,16/04/2021,855826,262917
N92000002,Northern Ireland,nation,17/04/2021,860313,268341
N92000002,Northern Ireland,nation,18/04/2021,863712,273619
N92000002,Northern Ireland,nation,19/04/2021,869342,283478
N92000002,Northern Ireland,nation,20/04/2021,876290,298557
