areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate
N92000002,Northern Ireland,nation,2021-10-15,3537
N92000002,Northern Ireland,nation,2021-10-14,3537
N92000002,Northern Ireland,nation,2021-10-13,3534
N92000002,Northern Ireland,nation,2021-10-12,3531
N92000002,Northern Ireland,nation,2021-10-11,3528
N92000002,Northern Ireland,nation,2021-10-10,3523
N92000002,Northern Ireland,nation,2021-10-09,3520
N92000002,Northern Ireland,nation,2021-10-08,3515
N92000002,Northern Ireland,nation,2021-10-07,3510
N92000002,Northern Ireland,nation,2021-10-06,3506
N92000002,Northern Ireland,nation,2021-10-05,3501
N92000002,Northern Ireland,nation,2021-10-04,3498
N92000002,Northern Ireland,nation,2021-10-03,3493
N92000002,Northern Ireland,nation,2021-10-02,3489
N92000002,Northern Ireland,nation,2021-10-01,3481
N92000002,Northern Ireland,nation,2021-09-30,3476
N92000002,Northern Ireland,nation,2021-09-29,3471
N92000002,Northern Ireland,nation,2021-09-28,3467
N92000002,Northern Ireland,nation,2021-09-27,3465
N92000002,Northern Ireland,nation,2021-09-26,3460
N92000002,Northern Ireland,nation,2021-09-25,3456
N92000002,Northern Ireland,nation,2021-09-24,3448
N92000002,Northern Ireland,nation,2021-09-23,3441
N92000002,Northern Ireland,nation,2021-09-22,3432
N92000002,Northern Ireland,nation,2021-09-21,3423
N92000002,Northern Ireland,nation,2021-09-20,3418
N92000002,Northern Ireland,nation,2021-09-19,3411
N92000002,Northern Ireland,nation,2021-09-18,3410
N92000002,Northern Ireland,nation,2021-09-17,3406
N92000002,Northern Ireland,nation,2021-09-16,3394
N92000002,Northern Ireland,nation,2021-09-15,3384
N92000002,Northern Ireland,nation,2021-09-14,3378
N92000002,Northern Ireland,nation,2021-09-13,3368
N92000002,Northern Ireland,nation,2021-09-12,3356
N92000002,Northern Ireland,nation,2021-09-11,3345
N92000002,Northern Ireland,nation,2021-09-10,3337
N92000002,Northern Ireland,nation,2021-09-09,3333
N92000002,Northern Ireland,nation,2021-09-08,3324
N92000002,Northern Ireland,nation,2021-09-07,3315
