areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
S92000003,Scotland,nation,10/01/2021,163377,2758
S92000003,Scotland,nation,11/01/2021,175942,2857
S92000003,Scotland,nation,12/01/2021,191965,2990
S92000003,Scotland,nation,13/01/2021,208207,3190
S92000003,Scotland,nation,14/01/2021,224840,3331
S92000003,Scotland,nation,15/01/2021,241924,3512
S92000003,Scotland,nation,16/01/2021,260140,3657
S92000003,Scotland,nation,17/01/2021,264991,3698
S92000003,Scotland,nation,18/01/2021,284582,3886
S92000003,Scotland,nation,19/01/2021,309909,4170
S92000003,Scotland,nation,20/01/2021,334871,4466
S92000003,Scotland,nation,21/01/2021,358454,4689
S92000003,Scotland,nation,22/01/2021,380667,5188
S92000003,Scotland,nation,23/01/2021,404038,5383
S92000003,Scotland,nation,24/01/2021,415402,5538
S92000003,Scotland,nation,25/01/2021,437900,6060
S92000003,Scotland,nation,26/01/2021,462092,6596
S92000003,Scotland,nation,27/01/2021,491658,6783
S92000003,Scotland,nation,28/01/2021,515855,7095
S92000003,Scotland,nation,29/01/2021,543370,7638
S92000003,Scotland,nation,30/01/2021,566269,7794
S92000003,Scotland,nation,31/01/2021,575897,7849
S92000003,Scotland,nation,01/02/2021,610778,8345
S92000003,Scotland,nation,02/02/2021,649262,8758
S92000003,Scotland,nation,03/02/2021,694347,9031
S92000003,Scotland,nation,04/02/2021,742512,9529
S92000003,Scotland,nation,05/02/2021,786427,10332
S92000003,Scotland,nation,06/02/2021,839266,10582
S92000003,Scotland,nation,07/02/2021,866823,10690
S92000003,Scotland,nation,08/02/2021,928122,12257
S92000003,Scotland,nation,09/02/2021,985569,12866
S92000003,Scotland,nation,10/02/2021,1048747,13195
S92000003,Scotland,nation,11/02/2021,1113625,13566
S92000003,Scotland,nation,12/02/2021,1173445,14009
S92000003,Scotland,nation,13/02/2021,1223774,14281
S92000003,Scotland,nation,14/02/2021,1255190,14501
S92000003,Scotland,nation,15/02/2021,1288004,17137
S92000003,Scotland,nation,16/02/2021,1320074,20409
S92000003,Scotland,nation,17/02/2021,1354966,24169
S92000003,Scotland,nation,18/02/2021,1386152,29015
S92000003,Scotland,nation,19/02/2021,1412643,33473
S92000003,Scotland,nation,20/02/2021,1431942,35479
S92000003,Scotland,nation,21/02/2021,1445488,37342
S92000003,Scotland,nation,22/02/2021,1465241,43203
S92000003,Scotland,nation,23/02/2021,1488077,50121
