areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate
S92000003,Scotland,nation,01/01/2021,6890
S92000003,Scotland,nation,02/01/2021,6939
S92000003,Scotland,nation,03/01/2021,6987
S92000003,Scotland,nation,04/01/2021,7028
S92000003,Scotland,nation,05/01/2021,7072
S92000003,Scotland,nation,06/01/2021,7127
S92000003,Scotland,nation,07/01/2021,7175
S92000003,Scotland,nation,08/01/2021,7225
S92000003,Scotland,nation,09/01/2021,7264
S92000003,Scotland,nation,10/01/2021,7327
S92000003,Scotland,nation,11/01/2021,7381
S92000003,Scotland,nation,12/01/2021,7437
S92000003,Scotland,nation,13/01/2021,7490
S92000003,Scotland,nation,14/01/2021,7554
S92000003,Scotland,nation,15/01/2021,7618
S92000003,Scotland,nation,16/01/2021,7695
S92000003,Scotland,nation,17/01/2021,7744
S92000003,Scotland,nation,18/01/2021,7817
S92000003,Scotland,nation,19/01/2021,7894
S92000003,Scotland,nation,20/01/2021,7961
S92000003,Scotland,nation,21/01/2021,8027
S92000003,Scotland,nation,22/01/2021,8104
S92000003,Scotland,nation,23/01/2021,8161
S92000003,Scotland,nation,24/01/2021,8234
S92000003,Scotland,nation,25/01/2021,8289
S92000003,Scotland,nation,26/01/2021,8343
S92000003,Scotland,nation,27/01/2021,8406
S92000003,Scotland,nation,28/01/2021,8457
S92000003,Scotland,nation,29/01/2021,8519
S92000003,Scotland,nation,30/01/2021,8568
S92000003,Scotland,nation,31/01/2021,8619
S92000003,Scotland,nation,01/02/2021,8668
S92000003,Scotland,nation,02/02/2021,8719
S92000003,Scotland,nation,03/02/2021,8771
S92000003,Scotland,nation,04/02/2021,8811
S92000003,Scotland,nation,05/02/2021,8861
S92000003,Scotland,nation,06/02/2021,8913
S92000003,Scotland,nation,07/02/2021,8961
S92000003,Scotland,nation,08/02/2021,9005
S92000003,Scotland,nation,09/02/2021,9063
S92000003,Scotland,nation,10/02/2021,9104
S92000003,Scotland,nation,11/02/2021,9148
S92000003,Scotland,nation,12/02/2021,9195
S92000003,Scotland,nation,13/02/2021,9230
S92000003,Scotland,nation,14/02/2021,9272
S92000003,Scotland,nation,15/02/2021,9311
S92000003,Scotland,nation,16/02/2021,9345
S92000003,Scotland,nation,17/02/2021,9380
S92000003,Scotland,nation,18/02/2021,9421
S92000003,Scotland,nation,19/02/2021,9470
S92000003,Scotland,nation,20/02/2021,9506
S92000003,Scotland,nation,21/02/2021,9534
S92000003,Scotland,nation,22/02/2021,9560
S92000003,Scotland,nation,23/02/2021,9582
S92000003,Scotland,nation,24/02/2021,9605
S92000003,Scotland,nation,25/02/2021,9627
S92000003,Scotland,nation,26/02/2021,9646
S92000003,Scotland,nation,27/02/2021,9673
S92000003,Scotland,nation,28/02/2021,9685
S92000003,Scotland,nation,01/03/2021,9708
S92000003,Scotland,nation,02/03/2021,9726
S92000003,Scotland,nation,03/03/2021,9740
S92000003,Scotland,nation,04/03/2021,9756
S92000003,Scotland,nation,05/03/2021,9768
S92000003,Scotland,nation,06/03/2021,9780
S92000003,Scotland,nation,07/03/2021,9791
S92000003,Scotland,nation,08/03/2021,9812
S92000003,Scotland,nation,09/03/2021,9826
S92000003,Scotland,nation,10/03/2021,9831
S92000003,Scotland,nation,11/03/2021,9842
S92000003,Scotland,nation,12/03/2021,9851
S92000003,Scotland,nation,13/03/2021,9857
S92000003,Scotland,nation,14/03/2021,9872
S92000003,Scotland,nation,15/03/2021,9879
S92000003,Scotland,nation,16/03/2021,9892
S92000003,Scotland,nation,17/03/2021,9904
S92000003,Scotland,nation,18/03/2021,9910
S92000003,Scotland,nation,19/03/2021,9921
S92000003,Scotland,nation,20/03/2021,9929
S92000003,Scotland,nation,21/03/2021,9939
S92000003,Scotland,nation,22/03/2021,9948
S92000003,Scotland,nation,23/03/2021,9957
S92000003,Scotland,nation,24/03/2021,9963
S92000003,Scotland,nation,25/03/2021,9972
S92000003,Scotland,nation,26/03/2021,9980
S92000003,Scotland,nation,27/03/2021,9985
S92000003,Scotland,nation,28/03/2021,9991
S92000003,Scotland,nation,29/03/2021,9998
S92000003,Scotland,nation,30/03/2021,10003
S92000003,Scotland,nation,31/03/2021,10009
S92000003,Scotland,nation,01/04/2021,10015
S92000003,Scotland,nation,02/04/2021,10020
S92000003,Scotland,nation,03/04/2021,10024
S92000003,Scotland,nation,04/04/2021,10024
S92000003,Scotland,nation,05/04/2021,10029
S92000003,Scotland,nation,06/04/2021,10032
S92000003,Scotland,nation,07/04/2021,10037
