areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
W92000004,Wales,nation,10/01/2021,86039,79
W92000004,Wales,nation,11/01/2021,91239,97
W92000004,Wales,nation,12/01/2021,101371,108
W92000004,Wales,nation,13/01/2021,112973,121
W92000004,Wales,nation,14/01/2021,126375,129
W92000004,Wales,nation,15/01/2021,126375,129
W92000004,Wales,nation,16/01/2021,126375,129
W92000004,Wales,nation,17/01/2021,151737,201
W92000004,Wales,nation,18/01/2021,161932,265
W92000004,Wales,nation,19/01/2021,175816,370
W92000004,Wales,nation,20/01/2021,190435,396
W92000004,Wales,nation,21/01/2021,212317,415
W92000004,Wales,nation,22/01/2021,240547,469
W92000004,Wales,nation,23/01/2021,264538,516
W92000004,Wales,nation,24/01/2021,270833,543
W92000004,Wales,nation,25/01/2021,289566,581
W92000004,Wales,nation,26/01/2021,312305,639
W92000004,Wales,nation,27/01/2021,336071,674
W92000004,Wales,nation,28/01/2021,362253,717
W92000004,Wales,nation,29/01/2021,378200,750
W92000004,Wales,nation,30/01/2021,403463,786
W92000004,Wales,nation,31/01/2021,416306,841
W92000004,Wales,nation,01/02/2021,439640,1066
W92000004,Wales,nation,02/02/2021,462497,1160
W92000004,Wales,nation,03/02/2021,490570,1216
W92000004,Wales,nation,04/02/2021,523042,1635
W92000004,Wales,nation,05/02/2021,556997,2471
W92000004,Wales,nation,06/02/2021,589622,2606
W92000004,Wales,nation,07/02/2021,603976,2792
W92000004,Wales,nation,08/02/2021,628760,3491
W92000004,Wales,nation,09/02/2021,655419,3687
W92000004,Wales,nation,10/02/2021,684097,3795
W92000004,Wales,nation,11/02/2021,715944,4010
W92000004,Wales,nation,12/02/2021,749445,4224
W92000004,Wales,nation,13/02/2021,771651,4573
W92000004,Wales,nation,14/02/2021,784809,5402
W92000004,Wales,nation,15/02/2021,795927,7251
W92000004,Wales,nation,16/02/2021,807351,12988
W92000004,Wales,nation,17/02/2021,822633,19342
W92000004,Wales,nation,18/02/2021,839065,25433
W92000004,Wales,nation,19/02/2021,853904,32002
W92000004,Wales,nation,20/02/2021,860083,37773
W92000004,Wales,nation,21/02/2021,862248,42752
W92000004,Wales,nation,22/02/2021,869653,49729
W92000004,Wales,nation,23/02/2021,878506,59279
W92000004,Wales,nation,24/02/2021,889270,69851
W92000004,Wales,nation,25/02/2021,902334,80062
W92000004,Wales,nation,26/02/2021,916336,89053
W92000004,Wales,nation,27/02/2021,923615,96408
W92000004,Wales,nation,28/02/2021,925669,103819
W92000004,Wales,nation,01/03/2021,933485,111716
W92000004,Wales,nation,02/03/2021,942017,124781
W92000004,Wales,nation,03/03/2021,951540,139445
