areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate
W92000004,Wales,nation,01/01/2021,5301
W92000004,Wales,nation,02/01/2021,5341
W92000004,Wales,nation,03/01/2021,5400
W92000004,Wales,nation,04/01/2021,5451
W92000004,Wales,nation,05/01/2021,5505
W92000004,Wales,nation,06/01/2021,5569
W92000004,Wales,nation,07/01/2021,5628
W92000004,Wales,nation,08/01/2021,5693
W92000004,Wales,nation,09/01/2021,5747
W92000004,Wales,nation,10/01/2021,5810
W92000004,Wales,nation,11/01/2021,5893
W92000004,Wales,nation,12/01/2021,5956
W92000004,Wales,nation,13/01/2021,6023
W92000004,Wales,nation,14/01/2021,6098
W92000004,Wales,nation,15/01/2021,6164
W92000004,Wales,nation,16/01/2021,6237
W92000004,Wales,nation,17/01/2021,6282
W92000004,Wales,nation,18/01/2021,6343
W92000004,Wales,nation,19/01/2021,6396
W92000004,Wales,nation,20/01/2021,6449
W92000004,Wales,nation,21/01/2021,6504
W92000004,Wales,nation,22/01/2021,6557
W92000004,Wales,nation,23/01/2021,6612
W92000004,Wales,nation,24/01/2021,6674
W92000004,Wales,nation,25/01/2021,6710
W92000004,Wales,nation,26/01/2021,6765
W92000004,Wales,nation,27/01/2021,6802
W92000004,Wales,nation,28/01/2021,6846
W92000004,Wales,nation,29/01/2021,6907
W92000004,Wales,nation,30/01/2021,6945
W92000004,Wales,nation,31/01/2021,6972
W92000004,Wales,nation,01/02/2021,7010
W92000004,Wales,nation,02/02/2021,7049
W92000004,Wales,nation,03/02/2021,7092
W92000004,Wales,nation,04/02/2021,7126
W92000004,Wales,nation,05/02/2021,7159
W92000004,Wales,nation,06/02/2021,7192
W92000004,Wales,nation,07/02/2021,7220
W92000004,Wales,nation,08/02/2021,7241
W92000004,Wales,nation,09/02/2021,7270
W92000004,Wales,nation,10/02/2021,7299
W92000004,Wales,nation,11/02/2021,7325
W92000004,Wales,nation,12/02/2021,7355
W92000004,Wales,nation,13/02/2021,7386
W92000004,Wales,nation,14/02/2021,7417
W92000004,Wales,nation,15/02/2021,7433
W92000004,Wales,nation,16/02/2021,7449
