areaCode,areaName,areaType,date,cumCasesByPublishDate
K02000001,United Kingdom,overview,31/01/2020,2
K02000001,United Kingdom,overview,01/02/2020,2
K02000001,United Kingdom,overview,02/02/2020,2
K02000001,United Kingdom,overview,03/02/2020,2
K02000001,United Kingdom,overview,04/02/2020,2
K02000001,United Kingdom,overview,05/02/2020,2
K02000001,United Kingdom,overview,06/02/2020,3
K02000001,United Kingdom,overview,07/02/2020,3
K02000001,United Kingdom,overview,08/02/2020,3
K02000001,United Kingdom,overview,09/02/2020,4
K02000001,United Kingdom,overview,10/02/2020,8
K02000001,United Kingdom,overview,11/02/2020,8
K02000001,United Kingdom,overview,12/02/2020,8
K02000001,United Kingdom,overview,13/02/2020,9
K02000001,United Kingdom,overview,14/02/2020,9
K02000001,United Kingdom,overview,15/02/2020,9
K02000001,United Kingdom,overview,16/02/2020,9
K02000001,United Kingdom,overview,17/02/2020,9
K02000001,United Kingdom,overview,18/02/2020,9
K02000001,United Kingdom,overview,19/02/2020,9
K02000001,United Kingdom,overview,20/02/2020,9
K02000001,United Kingdom,overview,21/02/2020,9
K02000001,United Kingdom,overview,22/02/2020,9
K02000001,United Kingdom,overview,23/02/2020,9
K02000001,United Kingdom,overview,24/02/2020,13
K02000001,United Kingdom,overview,25/02/2020,13
K02000001,United Kingdom,overview,26/02/2020,13
K02000001,United Kingdom,overview,27/02/2020,13
K02000001,United Kingdom,overview,28/02/2020,19
K02000001,United Kingdom,overview,29/02/2020,23
K02000001,United Kingdom,overview,01/03/2020,35
K02000001,United Kingdom,overview,02/03/2020,40
K02000001,United Kingdom,overview,03/03/2020,51
K02000001,United Kingdom,overview,04/03/2020,85
K02000001,United Kingdom,overview,05/03/2020,114
K02000001,United Kingdom,overview,06/03/2020,160
K02000001,United Kingdom,overview,07/03/2020,206
K02000001,United Kingdom,overview,08/03/2020,271
K02000001,United Kingdom,overview,09/03/2020,321
K02000001,United Kingdom,overview,10/03/2020,373
K02000001,United Kingdom,overview,11/03/2020,456
K02000001,United Kingdom,overview,12/03/2020,590
K02000001,United Kingdom,overview,13/03/2020,797
K02000001,United Kingdom,overview,14/03/2020,1061
K02000001,United Kingdom,overview,15/03/2020,1391
K02000001,United Kingdom,overview,16/03/2020,1543
K02000001,United Kingdom,overview,17/03/2020,1950
