areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,30/01/2020,1
K02000001,United Kingdom,overview,31/01/2020,1
K02000001,United Kingdom,overview,01/02/2020,1
K02000001,United Kingdom,overview,02/02/2020,2
K02000001,United Kingdom,overview,03/02/2020,2
K02000001,United Kingdom,overview,04/02/2020,2
K02000001,United Kingdom,overview,05/02/2020,2
K02000001,United Kingdom,overview,06/02/2020,2
K02000001,United Kingdom,overview,07/02/2020,2
K02000001,United Kingdom,overview,08/02/2020,2
K02000001,United Kingdom,overview,09/02/2020,2
K02000001,United Kingdom,overview,10/02/2020,2
K02000001,United Kingdom,overview,11/02/2020,2
K02000001,United Kingdom,overview,12/02/2020,2
K02000001,United Kingdom,overview,13/02/2020,2
K02000001,United Kingdom,overview,14/02/2020,2
K02000001,United Kingdom,overview,15/02/2020,2
K02000001,United Kingdom,overview,16/02/2020,2
K02000001,United Kingdom,overview,17/02/2020,2
K02000001,United Kingdom,overview,18/02/2020,2
K02000001,United Kingdom,overview,19/02/2020,2
K02000001,United Kingdom,overview,20/02/2020,2
K02000001,United Kingdom,overview,21/02/2020,2
K02000001,United Kingdom,overview,22/02/2020,3
K02000001,United Kingdom,overview,23/02/2020,3
K02000001,United Kingdom,overview,24/02/2020,3
K02000001,United Kingdom,overview,25/02/2020,3
K02000001,United Kingdom,overview,26/02/2020,3
K02000001,United Kingdom,overview,27/02/2020,3
K02000001,United Kingdom,overview,28/02/2020,3
K02000001,United Kingdom,overview,29/02/2020,3
K02000001,United Kingdom,overview,01/03/2020,3
K02000001,United Kingdom,overview,02/03/2020,4
K02000001,United Kingdom,overview,03/03/2020,4
K02000001,United Kingdom,overview,04/03/2020,5
K02000001,United Kingdom,overview,05/03/2020,7
K02000001,United Kingdom,overview,06/03/2020,9
K02000001,United Kingdom,overview,07/03/2020,9
K02000001,United Kingdom,overview,08/03/2020,11
K02000001,United Kingdom,overview,09/03/2020,16
K02000001,United Kingdom,overview,10/03/2020,19
K02000001,United Kingdom,overview,11/03/2020,26
K02000001,United Kingdom,overview,12/03/2020,39
K02000001,United Kingdom,overview,13/03/2020,55
K02000001,United Kingdom,overview,14/03/2020,76
K02000001,United Kingdom,overview,15/03/2020,107
K02000001,United Kingdom,overview,16/03/2020,158
K02000001,United Kingdom,overview,17/03/2020,216
K02000001,United Kingdom,overview,18/03/2020,289
K02000001,United Kingdom,overview,19/03/2020,368
K02000001,United Kingdom,overview,20/03/2020,486
K02000001,United Kingdom,overview,21/03/2020,630
K02000001,United Kingdom,overview,22/03/2020,813
K02000001,United Kingdom,overview,23/03/2020,1021
K02000001,United Kingdom,overview,24/03/2020,1284
K02000001,United Kingdom,overview,25/03/2020,1621
K02000001,United Kingdom,overview,26/03/2020,2034
K02000001,United Kingdom,overview,27/03/2020,2497
K02000001,United Kingdom,overview,28/03/2020,3013
K02000001,United Kingdom,overview,29/03/2020,3599
K02000001,United Kingdom,overview,30/03/2020,4310
K02000001,United Kingdom,overview,31/03/2020,5141
K02000001,United Kingdom,overview,01/04/2020,6065
K02000001,United Kingdom,overview,02/04/2020,7072
K02000001,United Kingdom,overview,03/04/2020,8133
K02000001,United Kingdom,overview,04/04/2020,9280
K02000001,United Kingdom,overview,05/04/2020,10500
K02000001,United Kingdom,overview,06/04/2020,11670
K02000001,United Kingdom,overview,07/04/2020,12963
K02000001,United Kingdom,overview,08/04/2020,14424
K02000001,United Kingdom,overview,09/04/2020,15799
K02000001,United Kingdom,overview,10/04/2020,17118
K02000001,United Kingdom,overview,11/04/2020,18483
K02000001,United Kingdom,overview,12/04/2020,19861
K02000001,United Kingdom,overview,13/04/2020,21093
K02000001,United Kingdom,overview,14/04/2020,22347
K02000001,United Kingdom,overview,15/04/2020,23623
K02000001,United Kingdom,overview,16/04/2020,24945
K02000001,United Kingdom,overview,17/04/2020,26217
K02000001,United Kingdom,overview,18/04/2020,27406
K02000001,United Kingdom,overview,19/04/2020,28528
K02000001,United Kingdom,overview,20/04/2020,29688
K02000001,United Kingdom,overview,21/04/2020,30773
K02000001,United Kingdom,overview,22/04/2020,31875
K02000001,United Kingdom,overview,23/04/2020,32913
K02000001,United Kingdom,overview,24/04/2020,33918
K02000001,United Kingdom,overview,25/04/2020,34837
K02000001,United Kingdom,overview,26/04/2020,35731
K02000001,United Kingdom,overview,27/04/2020,36597
K02000001,United Kingdom,overview,28/04/2020,37398
K02000001,United Kingdom,overview,29/04/2020,38215
K02000001,United Kingdom,overview,30/04/2020,38995
K02000001,United Kingdom,overview,01/05/2020,39781
K02000001,United Kingdom,overview,02/05/2020,40486
K02000001,United Kingdom,overview,03/05/2020,41148
K02000001,United Kingdom,overview,04/05/2020,41824
K02000001,United Kingdom,overview,05/05/2020,42466
K02000001,United Kingdom,overview,06/05/2020,43093
K02000001,United Kingdom,overview,07/05/2020,43724
K02000001,United Kingdom,overview,08/05/2020,44293
K02000001,United Kingdom,overview,09/05/2020,44832
K02000001,United Kingdom,overview,10/05/2020,45326
K02000001,United Kingdom,overview,11/05/2020,45754
K02000001,United Kingdom,overview,12/05/2020,46195
K02000001,United Kingdom,overview,13/05/2020,46649
K02000001,United Kingdom,overview,14/05/2020,47114
K02000001,United Kingdom,overview,15/05/2020,47535
K02000001,United Kingdom,overview,16/05/2020,47954
K02000001,United Kingdom,overview,17/05/2020,48331
K02000001,United Kingdom,overview,18/05/2020,48738
K02000001,United Kingdom,overview,19/05/2020,49110
K02000001,United Kingdom,overview,20/05/2020,49463
K02000001,United Kingdom,overview,21/05/2020,49805
