areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
K02000001,United Kingdom,overview,24/10/2021,49715228,45542207
K02000001,United Kingdom,overview,23/10/2021,49689481,45512403
K02000001,United Kingdom,overview,22/10/2021,49649389,45486950
K02000001,United Kingdom,overview,21/10/2021,49603139,45460122
K02000001,United Kingdom,overview,20/10/2021,49554407,45433757
K02000001,United Kingdom,overview,19/10/2021,49505327,45400990
K02000001,United Kingdom,overview,18/10/2021,49462425,45377411
K02000001,United Kingdom,overview,17/10/2021,49422753,45360146
K02000001,United Kingdom,overview,16/10/2021,49404916,45326663
K02000001,United Kingdom,overview,15/10/2021,49375917,45297231
K02000001,United Kingdom,overview,14/10/2021,49335154,45269240
K02000001,United Kingdom,overview,13/10/2021,49291665,45239759
K02000001,United Kingdom,overview,12/10/2021,49252939,45212813
K02000001,United Kingdom,overview,11/10/2021,49216092,45189181
K02000001,United Kingdom,overview,10/10/2021,49186920,45169730
K02000001,United Kingdom,overview,09/10/2021,49164814,45136253
K02000001,United Kingdom,overview,08/10/2021,49133419,45107185
K02000001,United Kingdom,overview,07/10/2021,49101734,45078529
K02000001,United Kingdom,overview,06/10/2021,49068705,45049953
K02000001,United Kingdom,overview,05/10/2021,49035877,45021381
K02000001,United Kingdom,overview,04/10/2021,48994530,44992044
K02000001,United Kingdom,overview,03/10/2021,48956859,44970512
K02000001,United Kingdom,overview,02/10/2021,48932736,44936121
K02000001,United Kingdom,overview,01/10/2021,48901670,44901832
K02000001,United Kingdom,overview,30/09/2021,48863490,44867373
K02000001,United Kingdom,overview,29/09/2021,48829118,44833280
K02000001,United Kingdom,overview,28/09/2021,48797579,44799748
K02000001,United Kingdom,overview,27/09/2021,48765726,44766571
K02000001,United Kingdom,overview,26/09/2021,48740807,44741032
K02000001,United Kingdom,overview,25/09/2021,48724823,44693914
K02000001,United Kingdom,overview,24/09/2021,48700527,44649155
