areaCode,areaName,areaType,date,cumVaccinesGivenByPublishDate
K02000001,United Kingdom,overview,10/01/2021,2677971
K02000001,United Kingdom,overview,11/01/2021,2843815
K02000001,United Kingdom,overview,12/01/2021,3067541
K02000001,United Kingdom,overview,13/01/2021,3356229
K02000001,United Kingdom,overview,14/01/2021,3678180
K02000001,United Kingdom,overview,15/01/2021,4023705
K02000001,United Kingdom,overview,16/01/2021,4322456
K02000001,United Kingdom,overview,17/01/2021,4514802
K02000001,United Kingdom,overview,18/01/2021,4723443
K02000001,United Kingdom,overview,19/01/2021,5070365
K02000001,United Kingdom,overview,20/01/2021,5437284
K02000001,United Kingdom,overview,21/01/2021,5849899
K02000001,United Kingdom,overview,22/01/2021,6329968
K02000001,United Kingdom,overview,23/01/2021,6822981
K02000001,United Kingdom,overview,24/01/2021,7044048
K02000001,United Kingdom,overview,25/01/2021,7325773
K02000001,United Kingdom,overview,26/01/2021,7638543
K02000001,United Kingdom,overview,27/01/2021,7953250
K02000001,United Kingdom,overview,28/01/2021,8369438
K02000001,United Kingdom,overview,29/01/2021,8859372
K02000001,United Kingdom,overview,30/01/2021,9468382
K02000001,United Kingdom,overview,31/01/2021,9790576
K02000001,United Kingdom,overview,01/02/2021,10143511
K02000001,United Kingdom,overview,02/02/2021,10520433
K02000001,United Kingdom,overview,03/02/2021,10992444
K02000001,United Kingdom,overview,04/02/2021,11477040
K02000001,United Kingdom,overview,05/02/2021,11975267
K02000001,United Kingdom,overview,06/02/2021,12526737
K02000001,United Kingdom,overview,07/02/2021,12806587
K02000001,United Kingdom,overview,08/02/2021,13162878
K02000001,United Kingdom,overview,09/02/2021,13577851
K02000001,United Kingdom,overview,10/02/2021,14033555
K02000001,United Kingdom,overview,11/02/2021,14542318
K02000001,United Kingdom,overview,12/02/2021,15091696
K02000001,United Kingdom,overview,13/02/2021,15599904
K02000001,United Kingdom,overview,14/02/2021,15839781
K02000001,United Kingdom,overview,15/02/2021,16122272
K02000001,United Kingdom,overview,16/02/2021,16499549
K02000001,United Kingdom,overview,17/02/2021,16996806
K02000001,United Kingdom,overview,18/02/2021,17465127
K02000001,United Kingdom,overview,19/02/2021,17852327
K02000001,United Kingdom,overview,20/02/2021,18197269
K02000001,United Kingdom,overview,21/02/2021,18348165
K02000001,United Kingdom,overview,22/02/2021,18558969
K02000001,United Kingdom,overview,23/02/2021,18911978
K02000001,United Kingdom,overview,24/02/2021,19392553
K02000001,United Kingdom,overview,25/02/2021,19913592
K02000001,United Kingdom,overview,26/02/2021,20450858
K02000001,United Kingdom,overview,27/02/2021,20885683
K02000001,United Kingdom,overview,28/02/2021,21091267
K02000001,United Kingdom,overview,01/03/2021,21322717
K02000001,United Kingdom,overview,02/03/2021,21599027
K02000001,United Kingdom,overview,03/03/2021,21946433
K02000001,United Kingdom,overview,04/03/2021,22392883
K02000001,United Kingdom,overview,05/03/2021,22887118
K02000001,United Kingdom,overview,06/03/2021,23335514
K02000001,United Kingdom,overview,07/03/2021,23519898
K02000001,United Kingdom,overview,08/03/2021,23773959
K02000001,United Kingdom,overview,09/03/2021,24064182
K02000001,United Kingdom,overview,10/03/2021,24405231
K02000001,United Kingdom,overview,11/03/2021,24759603
K02000001,United Kingdom,overview,12/03/2021,25216857
K02000001,United Kingdom,overview,13/03/2021,25781120
K02000001,United Kingdom,overview,14/03/2021,26063501
K02000001,United Kingdom,overview,15/03/2021,26503552
K02000001,United Kingdom,overview,16/03/2021,27032671
K02000001,United Kingdom,overview,17/03/2021,27614526
K02000001,United Kingdom,overview,18/03/2021,28274802
K02000001,United Kingdom,overview,19/03/2021,29015457
