areaCode,areaName,areaType,date,cumPeopleVaccinatedCompleteByVaccinationDate
E92000001,England,nation,2021-10-26,38020061
E92000001,England,nation,2021-10-25,38002849
E92000001,England,nation,2021-10-24,37986567
E92000001,England,nation,2021-10-23,37973164
E92000001,England,nation,2021-10-22,37946086
E92000001,England,nation,2021-10-21,37924758
E92000001,England,nation,2021-10-20,37904450
E92000001,England,nation,2021-10-19,37883865
E92000001,England,nation,2021-10-18,37864094
E92000001,England,nation,2021-10-17,37844923
E92000001,England,nation,2021-10-16,37830248
E92000001,England,nation,2021-10-15,37799879
E92000001,England,nation,2021-10-14,37775173
E92000001,England,nation,2021-10-13,37752853
E92000001,England,nation,2021-10-12,37730293
E92000001,England,nation,2021-10-11,37709769
E92000001,England,nation,2021-10-10,37690409
E92000001,England,nation,2021-10-09,37674450
E92000001,England,nation,2021-10-08,37644231
E92000001,England,nation,2021-10-07,37619985
E92000001,England,nation,2021-10-06,37596308
E92000001,England,nation,2021-10-05,37572790
E92000001,England,nation,2021-10-04,37549122
E92000001,England,nation,2021-10-03,37525646
E92000001,England,nation,2021-10-02,37508116
E92000001,England,nation,2021-10-01,37476419
E92000001,England,nation,2021-09-30,37448469
E92000001,England,nation,2021-09-29,37418262
E92000001,England,nation,2021-09-28,37388124
E92000001,England,nation,2021-09-27,37358791
E92000001,England,nation,2021-09-26,37330672
E92000001,England,nation,2021-09-25,37308925
E92000001,England,nation,2021-09-24,37264395
E92000001,England,nation,2021-09-23,37225009
E92000001,England,nation,2021-09-22,37183240
E92000001,England,nation,2021-09-21,37143675
E92000001,England,nation,2021-09-20,37104884
E92000001,England,nation,2021-09-19,37064097
E92000001,England,nation,2021-09-18,37033353
E92000001,England,nation,2021-09-17,36966206
E92000001,England,nation,2021-09-16,36911042
E92000001,England,nation,2021-09-15,36852807
E92000001,England,nation,2021-09-14,36796470
E92000001,England,nation,2021-09-13,36740933
E92000001,England,nation,2021-09-12,36687448
E92000001,England,nation,2021-09-11,36644493
E92000001,England,nation,2021-09-10,36556988
E92000001,England,nation,2021-09-09,36478020
E92000001,England,nation,2021-09-08,36391472
E92000001,England,nation,2021-09-07,36316415
E92000001,England,nation,2021-09-06,36245645
E92000001,England,nation,2021-09-05,36175768
E92000001,England,nation,2021-09-04,36116028
E92000001,England,nation,2021-09-03,35998673
E92000001,England,nation,2021-09-02,35900047
E92000001,England,nation,2021-09-01,35797300
E92000001,England,nation,2021-08-31,35696832
E92000001,England,nation,2021-08-30,35593158
E92000001,England,nation,2021-08-29,35541490
E92000001,England,nation,2021-08-28,35476331
E92000001,England,nation,2021-08-27,35358989
E92000001,England,nation,2021-08-26,35243442
E92000001,England,nation,2021-08-25,35116184
E92000001,England,nation,2021-08-24,34988892
E92000001,England,nation,2021-08-23,34865766
E92000001,England,nation,2021-08-22,34753989
E92000001,England,nation,2021-08-21,34657927
E92000001,England,nation,2021-08-20,34482100
E92000001,England,nation,2021-08-19,34335276
E92000001,England,nation,2021-08-18,34181214
E92000001,England,nation,2021-08-17,34034880
E92000001,England,nation,2021-08-16,33915230
E92000001,England,nation,2021-08-15,33798617
E92000001,England,nation,2021-08-14,33697058
E92000001,England,nation,2021-08-13,33519393
E92000001,England,nation,2021-08-12,33374593
