areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
S92000003,Scotland,nation,2021-10-28,9143,4310788,3903219
S92000003,Scotland,nation,2021-10-27,9143,4309507,3901438
S92000003,Scotland,nation,2021-10-26,9142,4308239,3899468
S92000003,Scotland,nation,2021-10-25,9131,4306903,3897586
S92000003,Scotland,nation,2021-10-24,9127,4305433,3895791
S92000003,Scotland,nation,2021-10-23,9117,4302725,3892808
S92000003,Scotland,nation,2021-10-22,9097,4299650,3891101
S92000003,Scotland,nation,2021-10-21,9084,4297082,3889141
S92000003,Scotland,nation,2021-10-20,9065,4294588,3887037
S92000003,Scotland,nation,2021-10-19,9050,4291862,3884906
S92000003,Scotland,nation,2021-10-18,9041,4289527,3882902
S92000003,Scotland,nation,2021-10-17,9026,4287073,3881186
S92000003,Scotland,nation,2021-10-16,9013,4284094,3879115
S92000003,Scotland,nation,2021-10-15,8995,4280343,3877296
S92000003,Scotland,nation,2021-10-14,8981,4277292,3875284
S92000003,Scotland,nation,2021-10-13,8962,4273693,3873066
S92000003,Scotland,nation,2021-10-12,8943,4270088,3871336
S92000003,Scotland,nation,2021-10-11,8928,4265802,3869135
S92000003,Scotland,nation,2021-10-10,8906,4261250,3867460
S92000003,Scotland,nation,2021-10-09,8892,4254024,3864665
S92000003,Scotland,nation,2021-10-08,8875,4246515,3862707
S92000003,Scotland,nation,2021-10-07,8861,4241428,3860385
S92000003,Scotland,nation,2021-10-06,8842,4235650,3857946
S92000003,Scotland,nation,2021-10-05,8829,4230720,3855911
S92000003,Scotland,nation,2021-10-04,8806,4225187,3853524
S92000003,Scotland,nation,2021-10-03,8792,4219453,3851066
S92000003,Scotland,nation,2021-10-02,8777,4210217,3849133
S92000003,Scotland,nation,2021-10-01,8754,4201571,3847061
S92000003,Scotland,nation,2021-09-30,8735,4196104,3844478
S92000003,Scotland,nation,2021-09-29,8719,4191554,3842087
S92000003,Scotland,nation,2021-09-28,8694,4188159,3839523
S92000003,Scotland,nation,2021-09-27,8678,4185965,3837036
S92000003,Scotland,nation,2021-09-26,8654,4183038,3834475
S92000003,Scotland,nation,2021-09-25,8634,4178364,3831748
S92000003,Scotland,nation,2021-09-24,8613,4173951,3828730
S92000003,Scotland,nation,2021-09-23,8591,4170409,3826331
S92000003,Scotland,nation,2021-09-22,8572,4167581,3823483
S92000003,Scotland,nation,2021-09-21,8541,4164802,3821192
S92000003,Scotland,nation,2021-09-20,8520,4162436,3819091
S92000003,Scotland,nation,2021-09-19,8500,4159208,3816569
S92000003,Scotland,nation,2021-09-18,8472,4156661,3812758
S92000003,Scotland,nation,2021-09-17,8451,4153383,3807864
S92000003,Scotland,nation,2021-09-16,8427,4151823,3804877
S92000003,Scotland,nation,2021-09-15,8411,4150400,3801819
S92000003,Scotland,nation,2021-09-14,8388,4148738,3798400
S92000003,Scotland,nation,2021-09-13,8368,4146398,3794845
S92000003,Scotland,nation,2021-09-12,8347,4144294,3791550
S92000003,Scotland,nation,2021-09-11,8325,4142215,3784357
S92000003,Scotland,nation,2021-09-10,8304,4139404,3776562
S92000003,Scotland,nation,2021-09-09,8279,4136990,3770048
S92000003,Scotland,nation,2021-09-08,8262,4135283,3764880
S92000003,Scotland,nation,2021-09-07,8252,4132671,3757260
S92000003,Scotland,nation,2021-09-06,8234,4130383,3750458
S92000003,Scotland,nation,2021-09-05,8224,4128284,3744443
S92000003,Scotland,nation,2021-09-04,8207,4123997,3734853
S92000003,Scotland,nation,2021-09-03,8198,4119248,3725526
S92000003,Scotland,nation,2021-09-02,8187,4116701,3717451
S92000003,Scotland,nation,2021-09-01,8176,4113715,3707748
S92000003,Scotland,nation,2021-08-31,8168,4111100,3699474
S92000003,Scotland,nation,2021-08-30,8158,4108752,3688946
S92000003,Scotland,nation,2021-08-29,8152,4106009,3676803
S92000003,Scotland,nation,2021-08-28,8144,4103603,3663746
S92000003,Scotland,nation,2021-08-27,8136,4100501,3649220
S92000003,Scotland,nation,2021-08-26,8126,4097961,3638199
