areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate,cumPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
E92000001,England,nation,2021-10-29,7669614,142914,38073536,41457144,38073536
E92000001,England,nation,2021-10-28,7661922,142886,38056308,41428220,38056308
E92000001,England,nation,2021-10-27,7630033,142778,38038651,41395610,38038651
E92000001,England,nation,2021-10-26,7594944,142645,38019999,41362649,38019999
E92000001,England,nation,2021-10-25,7560646,142519,38002211,41334519,38002211
E92000001,England,nation,2021-10-24,7521658,142403,37985630,41310623,37985630
E92000001,England,nation,2021-10-23,7492255,142267,37971972,41296756,37971972
E92000001,England,nation,2021-10-22,7463150,142130,37944304,41274262,37944304
E92000001,England,nation,2021-10-21,7429402,142017,37922740,41240533,37922740
E92000001,England,nation,2021-10-20,7391669,141892,37902085,41203009,37902085
E92000001,England,nation,2021-10-19,7348607,141752,37881358,41163790,37881358
E92000001,England,nation,2021-10-18,7304965,141625,37861450,41127242,37861450
E92000001,England,nation,2021-10-17,7256763,141514,37842236,41090795,37842236
E92000001,England,nation,2021-10-16,7220007,141383,37827513,41082915,37827513
E92000001,England,nation,2021-10-15,7189001,141254,37797013,41066812,37797013
E92000001,England,nation,2021-10-14,7153115,141129,37772267,41029131,37772267
E92000001,England,nation,2021-10-13,7114679,140992,37749902,40988779,37749902
E92000001,England,nation,2021-10-12,7074949,140877,37727277,40949571,37727277
E92000001,England,nation,2021-10-11,7034921,140758,37706732,40918865,37706732
E92000001,England,nation,2021-10-10,6992692,140643,37687179,40892121,37687179
E92000001,England,nation,2021-10-09,6961803,140542,37671204,40884063,37671204
E92000001,England,nation,2021-10-08,6935240,140424,37640949,40868174,37640949
E92000001,England,nation,2021-10-07,6906006,140312,37616633,40840079,37616633
E92000001,England,nation,2021-10-06,6874467,140197,37592928,40813515,37592928
E92000001,England,nation,2021-10-05,6842585,140094,37569395,40785293,37569395
E92000001,England,nation,2021-10-04,6811019,139981,37545715,40749538,37545715
E92000001,England,nation,2021-10-03,6775268,139878,37522236,40718000,37522236
E92000001,England,nation,2021-10-02,6748672,139785,37504701,40708451,37504701
E92000001,England,nation,2021-10-01,6727251,139691,37472979,40691584,37472979
E92000001,England,nation,2021-09-30,6703607,139571,37445000,40662137,37445000
E92000001,England,nation,2021-09-29,6677365,139453,37414781,40630140,37414781
E92000001,England,nation,2021-09-28,6649226,139345,37384615,40599513,37384615
E92000001,England,nation,2021-09-27,6620212,139245,37355276,40568925,37355276
E92000001,England,nation,2021-09-26,6586313,139146,37327150,40545028,37327150
E92000001,England,nation,2021-09-25,6560047,139056,37305391,40536832,37305391
E92000001,England,nation,2021-09-24,6537392,138949,37260846,40520841,37260846
