areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDailyNsoDeathsByDeathDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
K02000001,United Kingdom,overview,2021-10-30,9019962,,,
K02000001,United Kingdom,overview,2021-10-29,8979236,,49922090,45672948
K02000001,United Kingdom,overview,2021-10-28,8936155,,49882904,45651222
K02000001,United Kingdom,overview,2021-10-27,8897149,,49838202,45627499
K02000001,United Kingdom,overview,2021-10-26,8853227,,49794120,45605922
K02000001,United Kingdom,overview,2021-10-25,8809774,,49753037,45582891
K02000001,United Kingdom,overview,2021-10-24,8773674,,49715228,45561445
K02000001,United Kingdom,overview,2021-10-23,8734934,,49689481,45543363
K02000001,United Kingdom,overview,2021-10-22,8689949,,49649389,45513120
K02000001,United Kingdom,overview,2021-10-21,8641221,,49603139,45486950
K02000001,United Kingdom,overview,2021-10-20,8589737,,49554407,45460122
K02000001,United Kingdom,overview,2021-10-19,8541192,,49505327,45433757
K02000001,United Kingdom,overview,2021-10-18,8497868,,49462425,45400990
K02000001,United Kingdom,overview,2021-10-17,8449165,,49422753,45377411
K02000001,United Kingdom,overview,2021-10-16,8404469,,49404916,45360146
K02000001,United Kingdom,overview,2021-10-15,8361651,165213,49375917,45326663
K02000001,United Kingdom,overview,2021-10-14,8317439,165156,49335154,45297231
K02000001,United Kingdom,overview,2021-10-13,8272883,165059,49291665,45269240
K02000001,United Kingdom,overview,2021-10-12,8231437,164966,49252939,45239759
K02000001,United Kingdom,overview,2021-10-11,8193769,164858,49216092,45212813
K02000001,United Kingdom,overview,2021-10-10,8154306,164747,49186920,45189181
K02000001,United Kingdom,overview,2021-10-09,8120713,164649,49164814,45169730
K02000001,United Kingdom,overview,2021-10-08,8087005,164543,49133419,45136253
K02000001,United Kingdom,overview,2021-10-07,8046390,164430,49101734,45107185
K02000001,United Kingdom,overview,2021-10-06,8006660,164302,49068705,45078529
K02000001,United Kingdom,overview,2021-10-05,7967985,164195,49035877,45049953
K02000001,United Kingdom,overview,2021-10-04,7934936,164075,48994530,45021381
K02000001,United Kingdom,overview,2021-10-03,7900680,163969,48956859,44992044
K02000001,United Kingdom,overview,2021-10-02,7871014,163869,48932736,44970512
K02000001,United Kingdom,overview,2021-10-01,7841625,163754,48901670,44936121
K02000001,United Kingdom,overview,2021-09-30,7807036,163620,48863490,44901832
K02000001,United Kingdom,overview,2021-09-29,7771294,163496,48829118,44867373
K02000001,United Kingdom,overview,2021-09-28,7736235,163361,48797579,44833280
K02000001,United Kingdom,overview,2021-09-27,7701715,163250,48765726,44799748
K02000001,United Kingdom,overview,2021-09-26,7664230,163130,48740807,44766571
K02000001,United Kingdom,overview,2021-09-25,7632353,163024,48724823,44741032
K02000001,United Kingdom,overview,2021-09-24,7601487,162897,48700527,44693914
K02000001,United Kingdom,overview,2021-09-23,7565867,162762,48672910,44649155
K02000001,United Kingdom,overview,2021-09-22,7530103,162619,48647827,44604567
K02000001,United Kingdom,overview,2021-09-21,7496543,162466,48625148,44560520
K02000001,United Kingdom,overview,2021-09-20,7465448,162333,48604764,44517114
K02000001,United Kingdom,overview,2021-09-19,7429746,162179,48584614,44470772
K02000001,United Kingdom,overview,2021-09-18,7400739,162048,48570774,44435615
K02000001,United Kingdom,overview,2021-09-17,7371301,161915,48544576,44363118
K02000001,United Kingdom,overview,2021-09-16,7339009,161736,48523798,44302734
K02000001,United Kingdom,overview,2021-09-15,7312683,161580,48500747,44238761
K02000001,United Kingdom,overview,2021-09-14,7282810,161419,48476345,44175471
K02000001,United Kingdom,overview,2021-09-13,7256559,161260,48458700,44108746
K02000001,United Kingdom,overview,2021-09-12,7226276,161145,48439272,44048093
K02000001,United Kingdom,overview,2021-09-11,7197662,161005,48424317,43995478
K02000001,United Kingdom,overview,2021-09-10,7168806,160863,48396404,43897419
K02000001,United Kingdom,overview,2021-09-09,7132072,160716,48370340,43805608
K02000001,United Kingdom,overview,2021-09-08,7094592,160540,48344566,43708906
K02000001,United Kingdom,overview,2021-09-07,7056106,160400,48319435,43620946
K02000001,United Kingdom,overview,2021-09-06,7018927,160243,48292811,43535098
K02000001,United Kingdom,overview,2021-09-05,6978126,160092,48270113,43455083
K02000001,United Kingdom,overview,2021-09-04,6941611,159937,48248318,43381890
K02000001,United Kingdom,overview,2021-09-03,6904969,159799,48207264,43253337
K02000001,United Kingdom,overview,2021-09-02,6862904,159652,48171998,43142747
K02000001,United Kingdom,overview,2021-09-01,6825074,159518,48131996,43023372
K02000001,United Kingdom,overview,2021-08-31,6789581,159400,48087908,42909987
K02000001,United Kingdom,overview,2021-08-30,6757650,159281,48048009,42790585
K02000001,United Kingdom,overview,2021-08-29,6731423,159173,48028366,42723937
K02000001,United Kingdom,overview,2021-08-28,6698486,159038,48003976,42644497
K02000001,United Kingdom,overview,2021-08-27,6666399,158906,47960705,42510809
K02000001,United Kingdom,overview,2021-08-26,6628709,158772,47915768,42379353
K02000001,United Kingdom,overview,2021-08-25,6590747,158651,47860628,42234417
K02000001,United Kingdom,overview,2021-08-24,6555200,158548,47792552,42072712
K02000001,United Kingdom,overview,2021-08-23,6524581,158433,47737142,41942036
K02000001,United Kingdom,overview,2021-08-22,6492906,158315,47690741,41810753
K02000001,United Kingdom,overview,2021-08-21,6460930,158190,47650396,41694401
K02000001,United Kingdom,overview,2021-08-20,6429147,158078,47577390,41499520
K02000001,United Kingdom,overview,2021-08-19,6392160,157954,47516505,41332128
K02000001,United Kingdom,overview,2021-08-18,6355887,157842,47460526,41157069
K02000001,United Kingdom,overview,2021-08-17,6322241,157733,47413242,40987846
K02000001,United Kingdom,overview,2021-08-16,6295613,157636,47369418,40841971
K02000001,United Kingdom,overview,2021-08-15,6267437,157552,47333702,40703581
K02000001,United Kingdom,overview,2021-08-14,6241011,157463,47302445,40577198
K02000001,United Kingdom,overview,2021-08-13,6211868,157361,47255842,40377614
K02000001,United Kingdom,overview,2021-08-12,6179506,157265,47215352,40206029
K02000001,United Kingdom,overview,2021-08-11,6146800,157163,47170968,40013470
K02000001,United Kingdom,overview,2021-08-10,6117540,157078,47129400,39839709
K02000001,United Kingdom,overview,2021-08-09,6094243,156995,47091889,39688566
K02000001,United Kingdom,overview,2021-08-08,6069362,156912,47059639,39551538
K02000001,United Kingdom,overview,2021-08-07,6042252,156830,47036796,39429468
K02000001,United Kingdom,overview,2021-08-06,6014023,156725,46998806,39215885
K02000001,United Kingdom,overview,2021-08-05,5982581,156630,46961830,39047529
K02000001,United Kingdom,overview,2021-08-04,5952756,156531,46926330,38874837
K02000001,United Kingdom,overview,2021-08-03,5923820,156440,46892996,38709168
K02000001,United Kingdom,overview,2021-08-02,5902354,156361,46863706,38566407
K02000001,United Kingdom,overview,2021-08-01,5880667,156270,46837614,38440215
K02000001,United Kingdom,overview,2021-07-31,5856528,156174,46816382,38322171
K02000001,United Kingdom,overview,2021-07-30,5830774,156084,46777556,38110157
K02000001,United Kingdom,overview,2021-07-29,5801561,155984,46740832,37939061
K02000001,United Kingdom,overview,2021-07-28,5770928,155899,46698479,37759143
K02000001,United Kingdom,overview,2021-07-27,5745526,155818,46654632,37587970
K02000001,United Kingdom,overview,2021-07-26,5722298,155744,46619230,37436320
K02000001,United Kingdom,overview,2021-07-25,5697912,155668,46589211,37287384
K02000001,United Kingdom,overview,2021-07-24,5669260,155598,46564660,37169428
K02000001,United Kingdom,overview,2021-07-23,5637975,155532,46520855,36965542
K02000001,United Kingdom,overview,2021-07-22,5602321,155453,46477881,36776201
K02000001,United Kingdom,overview,2021-07-21,5563006,155368,46433845,36587904
K02000001,United Kingdom,overview,2021-07-20,5519602,155308,46388744,36404566
K02000001,United Kingdom,overview,2021-07-19,5473477,155242,46349709,36243287
K02000001,United Kingdom,overview,2021-07-18,5433939,155156,46314039,36099727
K02000001,United Kingdom,overview,2021-07-17,5386340,155085,46295853,35970849
K02000001,United Kingdom,overview,2021-07-16,5332371,155025,46228636,35745635
K02000001,United Kingdom,overview,2021-07-15,5281098,154971,46159145,35543321
K02000001,United Kingdom,overview,2021-07-14,5233207,154919,46097464,35341428
K02000001,United Kingdom,overview,2021-07-13,5191459,154874,46037090,35155767
K02000001,United Kingdom,overview,2021-07-12,5155243,154825,45978017,34997491
K02000001,United Kingdom,overview,2021-07-11,5121245,154785,45923721,34872131
K02000001,United Kingdom,overview,2021-07-10,5089893,154750,45881721,34764511
K02000001,United Kingdom,overview,2021-07-09,5058093,154705,45787958,34553065
K02000001,United Kingdom,overview,2021-07-08,5022893,154657,45697875,34374246
K02000001,United Kingdom,overview,2021-07-07,4990916,154616,45601445,34198779
